Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Austria,AUT,"Labor force participation rate, total (% of total population ages 15+) (modeled ILO estimate)",SL.TLF.CACT.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.83000183,56.08200073,56.79999924,56.99300003,58.5909996,58.97299957,58.35100174,58.34400177,58.22000122,58.39099884,58.29999924,58.33800125,58.9129982,59.17399979,58.36999893,58.9620018,59.63299942,60.47399902,60.61899948,60.76900101,60.52099991,60.6570015,60.94100189,60.98400116,60.22600174,60.23799896,60.18700027
Azerbaijan,AZE,"Labor force participation rate, total (% of total population ages 15+) (modeled ILO estimate)",SL.TLF.CACT.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60.8730011,61.13600159,62.31999969,63.29800034,63.93600082,64.2480011,64.26999664,64.18699646,64.0059967,63.85699844,63.86500168,63.77600098,63.6609993,63.53099823,63.4090004,63.32300186,63.2159996,63.1609993,64.13200378,64.72399902,64.5019989,64.12799835,64.29199982,64.56900024,64.70800018,65.0059967,65.1989975
Burundi,BDI,"Labor force participation rate, total (% of total population ages 15+) (modeled ILO estimate)",SL.TLF.CACT.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90.62799835,90.16200256,89.6269989,89.02300262,88.35500336,87.62599945,86.88500214,86.0739975,85.19300079,84.87999725,84.49199677,84.15100098,83.78500366,83.43699646,83.13300323,82.91500092,82.74700165,82.65100098,82.62999725,82.69200134,82.83000183,83,83.20800018,83.4260025,83.62000275,83.67199707,83.67700195
Belgium,BEL,"Labor force participation rate, total (% of total population ages 15+) (modeled ILO estimate)",SL.TLF.CACT.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.4129982,49.25099945,49.49100113,49.57899857,50.16799927,50.41799927,50.32500076,50.39599991,50.66500092,51.82400131,52.19400024,50.77799988,51.59500122,51.67399979,52.44100189,53.38299942,53.20100021,53.74700165,53.75,53.51399994,54.08800125,53.17100143,53.22499847,53.56900024,53.60400009,53.59899902,53.51300049
Benin,BEN,"Labor force participation rate, total (% of total population ages 15+) (modeled ILO estimate)",SL.TLF.CACT.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72.51399994,72.5530014,72.61199951,72.74099731,72.83699799,72.89600372,72.86599731,72.79699707,72.69100189,72.55500031,72.38899994,72.20600128,72.0019989,72.07900238,72.11399841,72.10800171,72.02700043,71.91300201,71.77400208,71.62599945,71.47299957,71.54000092,71.5759964,71.61100006,71.64800262,71.66699982,71.68099976
Burkina Faso,BFA,"Labor force participation rate, total (% of total population ages 15+) (modeled ILO estimate)",SL.TLF.CACT.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83.39399719,83.33100128,83.38300323,83.39499664,83.44000244,83.43199921,83.35900116,83.34999847,83.33300018,83.32099915,83.38800049,83.39299774,83.42299652,83.42299652,83.46800232,83.45800018,83.46399689,83.51200104,83.53099823,83.58599854,83.5759964,83.60500336,83.56600189,83.56099701,83.55000305,83.49500275,83.43199921
Bangladesh,BGD,"Labor force participation rate, total (% of total population ages 15+) (modeled ILO estimate)",SL.TLF.CACT.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75.64900208,75.54000092,74.7539978,73.94200134,73.11100006,72.26799774,71.38600159,71.16400146,70.93699646,70.70600128,70.47299957,69.6760025,68.875,68.06900024,67.25499725,66.43599701,65.60199738,64.76899719,63.93799973,63.11500168,62.30400085,62.20299911,62.1230011,62.07400131,62.07400131,62.15000153,62.21099854
Bulgaria,BGR,"Labor force participation rate, total (% of total population ages 15+) (modeled ILO estimate)",SL.TLF.CACT.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58.77799988,58.13100052,57.52899933,56.58599854,55.63100052,54.6609993,53.72600174,52.77999878,51.86199951,50.88100052,49.8219986,51.55199814,51.0530014,50.14799881,50.94200134,50.24499893,52.20999908,53.68799973,55.06499863,54.2879982,53.32500076,52.52500153,53.06100082,53.83800125,54.12599945,54.1609993,54.12200165
Bahrain,BHR,"Labor force participation rate, total (% of total population ages 15+) (modeled ILO estimate)",SL.TLF.CACT.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64.34700012,64.50800323,64.56900024,64.77300262,65.06800079,65.3690033,65.04199982,64.81300354,64.82900238,65.14600372,65.68599701,65.66200256,65.38400269,65.46199799,65.73999786,66.80500031,67.47499847,68.28299713,69.21399689,70.1969986,71.04699707,70.49299622,69.93800354,69.46499634,69.19000244,69.19400024,68.84400177
"Bahamas, The",BHS,"Labor force participation rate, total (% of total population ages 15+) (modeled ILO estimate)",SL.TLF.CACT.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71.98600006,72.85700226,73.70999908,74.50800323,75.18399811,74.31999969,73.13300323,71.53500366,69.56099701,70.01000214,70.45300293,70.9489975,71.44100189,71.8690033,72.22599792,72.55200195,72.96600342,73.36199951,73.71399689,74.02100372,74.18000031,74.13899994,74.15000153,74.17500305,74.13600159,74.125,74.09600067
Bosnia and Herzegovina,BIH,"Labor force participation rate, total (% of total population ages 15+) (modeled ILO estimate)",SL.TLF.CACT.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.54499817,43.82300186,43.36100006,43.2120018,43.1590004,43.99599838,45.64099884,45.81900024,45.71099854,45.5379982,45.3370018,45.14500046,44.95600128,44.77500153,44.61199951,44.90999985,44.61100006,45.66600037,46.57400131,46.38700104,46.94599915,46.53900146,46.98600006,46.50799942,46.23799896,46.10699844,45.97000122
Belarus,BLR,"Labor force participation rate, total (% of total population ages 15+) (modeled ILO estimate)",SL.TLF.CACT.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67.19200134,66.23100281,65.27899933,64.33200073,63.39199829,62.46500015,61.53300095,60.61299896,59.69800186,58.77999878,58.87599945,58.9659996,59.0870018,59.23799896,59.42100143,59.64899826,59.80400085,60.01599884,60.26200104,60.51200104,60.52999878,60.53499985,60.60699844,60.68999863,60.73699951,60.75099945,60.55599976
Belize,BLZ,"Labor force participation rate, total (% of total population ages 15+) (modeled ILO estimate)",SL.TLF.CACT.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59.98600006,59.44400024,58.81700134,58.50899887,58.56499863,58.88499832,59.29499817,59.6780014,60.10400009,60.58300018,61.11600113,61.6230011,62.16699982,62.72600174,63.27299881,63.79600143,64.54599762,65.24700165,65.91100311,66.55000305,67.17299652,67.95600128,68.7460022,69.22499847,69.66600037,69.81700134,69.93399811
Bermuda,BMU,"Labor force participation rate, total (% of total population ages 15+) (modeled ILO estimate)",SL.TLF.CACT.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bolivia,BOL,"Labor force participation rate, total (% of total population ages 15+) (modeled ILO estimate)",SL.TLF.CACT.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66.38800049,66.76200104,67.12400055,67.47799683,67.82800293,68.17700195,69.36699677,70.47200012,70.38500214,70.27899933,70.14700317,70.31900024,70.4980011,70.6780014,70.85299683,71.01899719,71.4489975,71.83100128,72.16999817,72.46900177,72.31500244,72.10199738,72.44400024,72.76399994,73.09400177,73.14900208,73.22000122
Brazil,BRA,"Labor force participation rate, total (% of total population ages 15+) (modeled ILO estimate)",SL.TLF.CACT.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64.87000275,67.13300323,69.47399902,69.26399994,69.38300323,69.4960022,67.48500061,68.19200134,68.16000366,68.89499664,68.49199677,68.08499908,68.89199829,68.95899963,69.68900299,70.45700073,70.13800049,69.72499847,69.89900208,69.97100067,68.82499695,67.63999939,67.45500183,67.08100128,67.26499939,67.11100006,66.95600128
Barbados,BRB,"Labor force participation rate, total (% of total population ages 15+) (modeled ILO estimate)",SL.TLF.CACT.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69.02300262,67.62400055,68.44799805,69.09500122,69.60600281,70.29000092,69.51399994,69.46700287,69.50299835,69.47599792,69.5019989,69.72299957,68.77799988,68.97399902,69.61100006,69.51100159,69.31500244,69.07499695,68.78900146,68.46099854,68.00700378,68.06199646,66.94599915,66.93800354,66.60399628,66.29299927,66.00299835
Brunei Darussalam,BRN,"Labor force participation rate, total (% of total population ages 15+) (modeled ILO estimate)",SL.TLF.CACT.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65.15399933,65.39099884,65.52799988,65.71399689,65.97299957,66.3030014,66.46199799,66.72200012,67.09700012,67.5510025,68.01899719,67.77700043,67.4280014,67.19100189,67.02999878,66.8730011,66.49700165,66.22299957,66.05200195,65.94799805,65.85299683,65.46700287,64.9509964,64.34200287,63.69300079,63.52000046,63.35200119
Bhutan,BTN,"Labor force participation rate, total (% of total population ages 15+) (modeled ILO estimate)",SL.TLF.CACT.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65.59100342,65.24299622,64.99900055,64.81199646,64.6210022,64.42700195,64.7480011,65.1269989,65.57499695,66.13600159,66.8219986,68.22499847,69.56999969,70.70800018,71.53099823,72.00900269,72.0059967,71.81700134,71.48200226,71.02799988,69.67299652,68.32800293,65.81700134,66.21600342,66.01200104,66.42099762,66.77400208
Botswana,BWA,"Labor force participation rate, total (% of total population ages 15+) (modeled ILO estimate)",SL.TLF.CACT.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73.52700043,73.65299988,73.77600098,73.90200043,74.03500366,74.21199799,74.30200195,74.41000366,74.54699707,74.72200012,74.93699646,75.09999847,75.30000305,75.53500366,75.80200195,76.09200287,76.1760025,76.28500366,76.4469986,76.6969986,76.81800079,76.93000031,77.04000092,77.12799835,77.21600342,77.36100006,77.45999908
Central African Republic,CAF,"Labor force participation rate, total (% of total population ages 15+) (modeled ILO estimate)",SL.TLF.CACT.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78.08999634,78.08699799,78.18499756,78.17900085,78.11199951,78.01699829,78.06199646,77.96800232,77.88400269,77.81999969,77.85099792,77.77400208,77.70300293,77.76100159,77.66100311,77.63700104,77.55599976,77.48100281,77.47299957,77.39900208,77.34899902,77.34600067,77.32800293,77.93900299,77.96199799,78.0039978,78.05899811
Canada,CAN,"Labor force participation rate, total (% of total population ages 15+) (modeled ILO estimate)",SL.TLF.CACT.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66.7990036,66.27799988,65.3710022,65.01100159,64.80200195,64.42700195,64.24199677,64.44000244,64.69999695,65.09400177,65.28900146,65.39800262,66.35199738,67.06400299,67.00700378,66.63800049,66.58799744,67.07099915,67.31400299,66.78800201,66.60600281,66.40100098,66.27500153,66.16999817,65.73500061,65.55999756,65.40399933
Central Europe and the Baltics,CEB,"Labor force participation rate, total (% of total population ages 15+) (modeled ILO estimate)",SL.TLF.CACT.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61.02960996,60.65746033,60.16470707,59.75077309,59.37482665,59.08204354,58.42227066,58.38904848,57.92050245,57.48835615,57.27552171,56.96081039,55.4007536,55.23184415,55.10281549,54.77740826,54.92519669,54.96384344,55.24425058,55.37131443,55.55738942,55.4583362,55.86702488,56.05152412,56.68584782,56.62682047,56.54700405
Switzerland,CHE,"Labor force participation rate, total (% of total population ages 15+) (modeled ILO estimate)",SL.TLF.CACT.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67.83300018,68.43000031,68.44400024,68.39199829,67.59300232,67.35600281,67.55799866,67.28299713,67.81700134,67.78299713,67.36799622,67.79599762,67.71700287,67.80599976,67.26300049,67.01100159,67.40000153,67.70600128,68.22699738,68.25900269,67.86299896,68.08300018,68.18499756,68.31700134,68.70899963,68.66899872,68.52200317
Channel Islands,CHI,"Labor force participation rate, total (% of total population ages 15+) (modeled ILO estimate)",SL.TLF.CACT.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58.2480011,58.84999847,59.16699982,59.29299927,59.00799942,58.90299988,59.05799866,58.99499893,59.17599869,59.47999954,59.52500153,59.68899918,59.76900101,59.87400055,59.72700119,59.69300079,59.49900055,59.35900116,59.6609993,60.33499908,59.4640007,58.77299881,58.83100128,58.71500015,58.29199982,58.07099915,57.82600021
Chile,CHL,"Labor force participation rate, total (% of total population ages 15+) (modeled ILO estimate)",SL.TLF.CACT.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53.87900162,53.77999878,54.95399857,56.22399902,56.1570015,55.13199997,54.62400055,54.95100021,55.13999939,55.10200119,54.54399872,53.86600113,53.5019989,54.02500153,54.70500183,55.27500153,55.94300079,56.53099823,57.88499832,57.80899811,60.44100189,61.67599869,61.63899994,61.87099838,62.30400085,62.38999939,62.44400024
China,CHN,"Labor force participation rate, total (% of total population ages 15+) (modeled ILO estimate)",SL.TLF.CACT.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79.36799622,79.27700043,79.21199799,79.15200043,79.06600189,78.93000031,78.74199677,78.5059967,78.21600342,77.86699677,77.46099854,76.72100067,75.89900208,75.03900146,74.22200012,73.4980011,72.86199951,72.3219986,71.84400177,71.375,70.88300323,70.90899658,70.94499969,70.98100281,70.95899963,70.90899658,70.76899719
Cote d'Ivoire,CIV,"Labor force participation rate, total (% of total population ages 15+) (modeled ILO estimate)",SL.TLF.CACT.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67.15599823,67.0719986,66.98300171,66.89499664,66.81300354,66.74099731,66.63500214,66.52799988,66.41600037,66.45800018,66.53199768,66.6230011,66.72299957,66.81999969,66.90299988,66.96399689,67.01799774,67.05899811,67.08300018,67.09200287,67.08999634,67.04299927,67.0019989,66.97100067,66.95899963,66.97000122,66.99099731
Cameroon,CMR,"Labor force participation rate, total (% of total population ages 15+) (modeled ILO estimate)",SL.TLF.CACT.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67.23400116,67.58300018,67.91100311,68.21099854,68.47799683,68.70500183,68.87200165,69.36499786,69.84999847,70.33300018,70.81800079,71.28500366,71.75299835,72.22599792,72.70999908,73.20700073,73.71299744,74.22799683,74.74700165,75.27100372,75.79699707,75.83300018,75.87200165,75.89900208,75.93000031,76.01699829,76.08999634
"Congo, Dem. Rep.",COD,"Labor force participation rate, total (% of total population ages 15+) (modeled ILO estimate)",SL.TLF.CACT.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71.39199829,71.57900238,71.8010025,72.05999756,72.16600037,72.19200134,72.21099854,72.26899719,72.26399994,72.28600311,72.33799744,72.32800293,72.26100159,72.16400146,72.05500031,71.95200348,71.85299683,71.7440033,71.63700104,71.5739975,71.47599792,71.38600159,71.3030014,71.20899963,71.10700226,71.1190033,71.12400055
"Congo, Rep.",COG,"Labor force participation rate, total (% of total population ages 15+) (modeled ILO estimate)",SL.TLF.CACT.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64.33000183,64.56099701,64.79100037,65.03700256,65.31400299,65.60399628,65.89399719,66.22100067,66.5759964,66.97599792,67.39399719,67.81300354,68.23899841,68.66799927,69.0759964,69.45200348,69.51499939,69.71600342,69.7990036,69.84500122,69.85500336,69.91400146,69.92900085,69.91799927,69.83599854,69.82700348,69.83200073
Colombia,COL,"Labor force participation rate, total (% of total population ages 15+) (modeled ILO estimate)",SL.TLF.CACT.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54.20999908,54.3390007,54.41500092,54.45899963,55.9090004,57.37400055,58.85800171,60.34400177,61.82799911,63.30899811,64.78099823,66.25,67.6989975,69.11799622,67.16799927,66.73000336,64.76300049,64.05500031,64.5759964,67.01300049,67.56900024,67.72100067,68.30400085,68.18599701,68.53299713,68.56900024,68.59700012
Comoros,COM,"Labor force participation rate, total (% of total population ages 15+) (modeled ILO estimate)",SL.TLF.CACT.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53.73400116,53.84400177,53.94800186,54.04800034,54.14099884,54.23099899,54.31200027,54.39099884,54.47499847,54.57099915,54.68399811,54.80400085,54.93999863,55.0929985,55.26599884,55.45999908,55.66699982,55.89199829,56.13000107,56.3730011,56.61600113,56.78300095,56.94900131,57.11100006,57.26599884,57.4070015,57.53099823
Cabo Verde,CPV,"Labor force participation rate, total (% of total population ages 15+) (modeled ILO estimate)",SL.TLF.CACT.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61.58200073,61.95500183,62.29999924,62.61199951,62.88600159,63.12099838,63.25400162,63.3409996,63.39300156,63.43299866,63.47600174,63.62900162,63.7879982,63.96300125,64.16699982,64.39900208,64.76599884,65.16400146,65.57299805,65.98200226,66.39199829,66.79599762,67.20400238,67.60399628,67.98400116,68.29399872,68.56900024
Costa Rica,CRI,"Labor force participation rate, total (% of total population ages 15+) (modeled ILO estimate)",SL.TLF.CACT.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58.5530014,58.18799973,57.60200119,58.27799988,58.5359993,59.43700027,57.64199829,59.7140007,61.10900116,60.47100067,58.97600174,61.49499893,61.19499969,60.89500046,59.80899811,61.79100037,61.65100098,62.42200089,61.78499985,61.4129982,60.52700043,61.9640007,61.41500092,61.58200073,61.57400131,61.58200073,61.60300064
Caribbean small states,CSS,"Labor force participation rate, total (% of total population ages 15+) (modeled ILO estimate)",SL.TLF.CACT.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66.21191937,65.64042755,66.01045141,66.20142722,66.51753134,66.18267657,65.87304221,65.3729816,64.78019503,64.54795773,64.36077557,64.20901927,64.00412632,64.07148728,64.25949832,64.58358278,64.65644479,64.69644309,64.78065232,63.80234868,63.39499644,63.37056583,63.50412126,64.06038756,64.08235376,64.0862776,64.14819704
Cuba,CUB,"Labor force participation rate, total (% of total population ages 15+) (modeled ILO estimate)",SL.TLF.CACT.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53.50600052,53.6609993,53.87900162,54.11800003,54.31000137,54.40599823,54.40200043,54.29800034,54.10400009,53.84799957,53.5530014,53.22000122,52.85100174,52.47200012,52.11500168,52.78099823,53.39799881,54.47900009,55.05799866,56.56299973,55.66500092,56.09500122,56.02299881,55.90999985,55.77500153,55.59899902,55.40599823
Curacao,CUW,"Labor force participation rate, total (% of total population ages 15+) (modeled ILO estimate)",SL.TLF.CACT.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cayman Islands,CYM,"Labor force participation rate, total (% of total population ages 15+) (modeled ILO estimate)",SL.TLF.CACT.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cyprus,CYP,"Labor force participation rate, total (% of total population ages 15+) (modeled ILO estimate)",SL.TLF.CACT.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.77399826,56.47800064,55.77700043,56.48300171,56.28099823,55.82600021,56.51100159,56.55899811,56.23799896,56.28699875,60.80500031,62.08100128,62.11199951,63.20899963,63.6629982,63.39199829,63.64400101,63.9620018,63.84500122,63.9280014,64.35900116,63.61899948,63.39099884,63.23500061,63.68299866,63.92599869,64.08899689
Czech Republic,CZE,"Labor force participation rate, total (% of total population ages 15+) (modeled ILO estimate)",SL.TLF.CACT.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60.7519989,61.27600098,61.31900024,61.38399887,61.57600021,61.44100189,61.09199905,60.94499969,60.9640007,61.0340004,60.51399994,60.1780014,60.00099945,59.65200043,59.36299896,59.5320015,59.34999847,58.88800049,58.52199936,58.63700104,58.39099884,58.24900055,58.67699814,59.35900116,59.43000031,59.43999863,59.40499878
Germany,DEU,"Labor force participation rate, total (% of total population ages 15+) (modeled ILO estimate)",SL.TLF.CACT.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56.00099945,59.61399841,59.08800125,58.76699829,58.49499893,58.4640007,58.56600189,58.75099945,59.07899857,58.7859993,58.5530014,58.43399811,58.06499863,57.49300003,57.99700165,58.49100113,58.875,59.19800186,59.22200012,59.37099838,59.41799927,59.97399902,59.92599869,60.24599838,60.36800003,60.34000015,60.26699829
Djibouti,DJI,"Labor force participation rate, total (% of total population ages 15+) (modeled ILO estimate)",SL.TLF.CACT.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.0340004,46.87599945,47.02700043,47.24399948,47.43000031,47.63499832,47.85900116,48.06499863,48.27099991,48.46900177,48.68399811,48.86100006,49.02299881,49.18700027,49.37599945,49.61700058,49.85800171,50.15200043,50.47900009,50.82899857,51.18299866,51.45500183,51.73799896,51.98500061,52.20100021,52.32099915,52.42699814
Dominica,DMA,"Labor force participation rate, total (% of total population ages 15+) (modeled ILO estimate)",SL.TLF.CACT.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Denmark,DNK,"Labor force participation rate, total (% of total population ages 15+) (modeled ILO estimate)",SL.TLF.CACT.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68.26799774,68.03700256,67.95800018,67.24299622,64.47899628,65.31099701,65.37000275,65.7539978,65.44400024,66.16999817,65.75800323,65.40599823,65.85900116,65.56199646,66.18299866,65.86100006,66.26300049,65.85700226,66.05599976,65.3259964,64.37000275,63.97900009,63.2120018,62.37799835,62.14699936,62.04299927,62.00400162
Dominican Republic,DOM,"Labor force participation rate, total (% of total population ages 15+) (modeled ILO estimate)",SL.TLF.CACT.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64.52200317,64.6740036,64.29399872,64.06800079,64.11100006,64.00499725,63.82699966,63.63000107,63.46900177,63.30699921,63.16899872,63.46900177,63.79800034,64.02600098,64.26200104,64.59500122,64.95300293,65.26799774,63.87200165,62.46099854,63.85400009,65.06300354,65.21499634,65.42900085,65.3010025,65.30899811,65.31400299
