Country Name,Country Code,Indicator Name,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Antigua and Barbuda,ATG,GDP per capita growth (annual %),,,,,,,,,,,,,,,,,,,3.744427384,7.779880179,8.288091498,4.349151768,0.768300151,6.553857125,11.58869584,9.098436313,13.07041693,8.141409738,6.44806295,5.933139192,2.90507561,1.249331115,-0.497413796,3.005511334,4.027102125,-6.827837236,3.772942599,2.607066797,1.961247782,1.198556698,3.859731102,-6.837960061,-0.329003608,4.86215156,4.655690215,5.101193261,11.49578815,7.997958804,-1.139117234,-13.07235506,-8.102298063,-2.849101926,2.702282263,-1.268239597,3.490909255,3.034905259,3.300525322
Australia,AUS,GDP per capita growth (annual %),,0.456131128,-1.116418912,4.195409854,4.896714845,3.92183332,0.053912551,4.964446995,3.253862999,4.833347819,5.076609647,0.54644644,2.019179072,1.04268648,1.494918473,0.092915577,1.567454957,2.446906403,-0.268301306,2.937545748,1.803891792,1.729251512,1.610819106,-3.445996126,3.452794946,3.820021828,2.407918958,1.030043405,4.060206324,2.137363796,2.009850965,-1.637068681,-0.774858973,3.048881447,2.956023912,2.641878448,2.592040036,2.79120713,3.35728009,3.813926147,2.636834169,0.564896166,2.593040335,1.80426058,2.945228429,1.850427299,1.470043994,3.103645266,1.640692117,-0.264956601,0.431465531,0.960159777,1.864033359,0.843454781,1.107795434,1.006680566,1.326879
Austria,AUT,GDP per capita growth (annual %),,4.960717183,2.021469667,3.471466159,5.419336014,2.810012786,4.904479004,2.241009758,3.931241829,5.909495926,5.178084521,4.646942881,5.592381417,4.310905884,3.765373047,-0.099030336,4.763369832,5.039647858,-0.129830314,5.536447906,1.731377566,-0.398620302,1.938121174,3.139628062,0.057573583,2.450565668,2.236401899,1.293045212,3.149746866,3.420101728,3.553547811,2.413986068,0.976092341,-0.298754084,2.008761625,2.510912833,2.260149557,2.089269973,3.446394579,3.388635746,3.120139786,0.963288543,1.156956244,0.266532716,2.070515729,1.447196507,2.840716802,3.286168681,1.229875862,-4.050746665,1.683936621,2.462037275,0.287464003,-0.458901349,-0.088053884,-0.108113771,0.155989792
Azerbaijan,AZE,GDP per capita growth (annual %),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.229583237,-23.76383133,-24.25939916,-20.77813613,-12.80996836,0.282172039,4.784282725,8.960887423,6.461583364,10.19102938,9.051822172,9.777802547,10.36067596,9.239489951,25.11443921,33.03048728,23.63913264,8.470613513,7.162544171,3.6141875,-1.229479184,0.850986009,4.437066291,0.734739796,-0.097168804,-4.22096932
Burundi,BDI,GDP per capita growth (annual %),,-15.37300139,7.027770432,2.149477734,4.122311144,1.703465938,2.129435451,10.96016311,-2.769516693,-3.653620563,19.08380402,1.287576129,-7.424845383,5.860242597,-1.826815759,-0.753212807,5.975125571,9.090965625,-3.283670194,-0.856637687,-1.548110141,9.337996385,-3.569646806,1.026303692,-2.529793991,8.674263038,0.275254598,2.411213737,1.999904469,-1.415867793,0.912219081,2.597711725,-1.114906484,-8.031226984,-5.47130527,-9.316955227,-9.203912129,-2.732919334,3.492682069,-2.469686841,-2.742947109,-0.35902143,1.56886638,-4.228932634,1.486284921,-2.37355626,1.923950194,1.298480137,1.559960517,0.095055049,0.496039555,1.005128644,0.936613298,1.538267388,1.575577474,-6.801922317,-3.655786369
Belgium,BEL,GDP per capita growth (annual %),,4.630257134,4.794034518,3.574353541,5.949139356,2.624444661,2.461462453,3.291575742,3.785044364,6.328283647,5.852503193,3.796488763,4.884087932,6.047488814,4.236777602,-2.248829626,5.464139933,0.501978674,2.745989895,2.249127559,4.329008485,-0.276653818,0.622329223,0.319812335,2.467921398,1.621518928,1.786469948,2.219477959,4.39079503,3.093998963,2.830268115,1.455371754,1.119565704,-1.34799949,2.909318722,2.17055021,1.395258157,3.459530088,1.757997997,3.326010067,3.382815205,0.465496896,1.325025066,0.353496207,3.187226717,1.534450108,1.825318014,2.640994556,-0.045460663,-3.068171898,1.761154464,0.394608744,-0.587342188,-0.550034701,1.408233357,0.889760039,0.533441351
Benin,BEN,GDP per capita growth (annual %),,1.708894548,-4.855164142,3.084114416,4.872974956,3.438229481,1.652640175,-0.885591019,1.748705061,0.745684799,-0.064520037,-3.622459773,4.08371023,1.371100857,0.948679616,-7.160061686,-1.587378559,2.345923333,-1.345275126,3.75091091,3.948194093,6.990660966,-0.565306047,-7.005163734,4.895365282,4.472126419,-0.751791121,-4.339874444,0.360547047,-5.820202585,5.507107214,0.764700702,-0.562599754,2.195190168,-1.415683604,2.609371547,1.094014901,2.580644359,0.93026303,2.277471448,2.747800216,2.19312213,1.508016469,0.346990897,1.337853336,-1.247442478,0.97833194,3.004341023,1.973127354,-0.515263247,-0.70882861,0.1163546,1.919316666,4.24347992,3.439136515,-0.697706831,1.147071974
Burkina Faso,BFA,GDP per capita growth (annual %),,2.656018055,4.722128332,-2.593424583,0.857187825,2.24102302,-1.021090474,7.058359024,1.344304081,0.288794717,-1.599348439,-0.336973635,0.523656203,-1.334392179,6.322260293,1.082119895,6.467796597,-1.588731261,2.495364318,1.476287116,-1.436673582,1.832680565,6.912854231,-2.150736593,-4.261042654,5.755741753,5.194955613,-2.802458257,3.057972371,-0.510909236,-3.211214443,6.188996861,-2.430523115,0.695587917,-1.410838938,2.852986637,7.987347789,3.398121007,4.341710112,4.415316468,-1.032642563,3.60861857,1.394565964,4.722707532,1.4641414,5.493463706,3.124174132,2.520320923,4.097478797,-0.107397784,5.221000502,3.364335931,3.309358585,-0.205492129,1.14523493,0.985301733,2.819733125
Bangladesh,BGD,GDP per capita growth (annual %),,3.079001648,2.482799237,-3.302576923,7.679938429,-1.496371939,-0.703617433,-5.08136836,6.00666389,-1.712658097,2.972565963,-7.438877772,-15.46616984,1.680507731,7.720738682,-6.000241672,3.210548764,0.0327628,4.143875022,1.887953901,-1.94550836,4.3515205,-0.580388517,1.14001977,2.037905312,0.605994262,1.406921567,1.027427401,-0.25280729,0.231987154,3.046659431,1.068843498,3.077797683,2.433779741,1.666137797,2.885606142,2.31405137,2.309066938,3.019948164,2.575834805,3.251504334,3.09815029,1.937755293,2.917548429,3.535168833,4.958595192,5.250557826,5.769918609,4.826436822,3.893892784,4.396111941,5.245005217,5.279833222,4.772796389,4.840840706,5.365749925,5.962713126
Bulgaria,BGR,GDP per capita growth (annual %),,,,,,,,,,,,,,,,,,,,,,4.551144229,2.032294165,3.172520881,3.154807367,2.684953395,4.235241269,5.898612494,10.82009085,-2.151690705,-7.463207655,-7.534068891,-6.271263804,-0.691213532,2.164358774,3.319348969,2.125335011,-0.496062817,4.192967652,-5.079317877,5.530877649,6.344012506,8.344615581,5.913160864,7.362887699,8.046704985,7.567017116,8.469986287,6.391174416,-3.600640363,0.715365091,2.570626309,0.612024682,1.428147109,1.906431928,4.280707693,4.170609768
Bahrain,BHR,GDP per capita growth (annual %),,,,,,,,,,,,,,,,,,,,,,-8.91857045,-10.38977114,3.557947772,2.225823654,-7.529254994,-2.097011783,6.589891516,3.267198445,-2.950514771,1.312634341,8.211439634,3.972813351,10.10705294,-2.677558546,1.328326276,1.416885567,0.275023953,1.584671973,0.557098024,0.852803561,-2.348113492,-1.685176964,0.092711768,0.388553334,-0.354048864,-1.223851718,0.192968424,-1.256630472,-3.555267427,-0.360154395,-1.000610284,1.981224226,4.198862721,2.711193193,0.20331975,
"Bahamas, The",BHS,GDP per capita growth (annual %),,5.302375571,5.001573965,5.099103738,5.240886599,5.414207372,4.368226936,5.114623215,4.308452632,5.252022489,-8.494299717,-1.00909474,-5.654875013,5.404813939,-18.37822747,-16.50948146,2.993168074,6.824094831,11.68529769,23.37262128,4.155187362,-11.22185983,4.335561371,1.33729123,11.77470359,2.74230726,-0.094790753,1.181180623,0.579882287,4.917810213,-3.31874468,-5.935836743,-5.63896706,-1.553231827,1.38051019,2.793416445,2.886719476,0.93125743,3.600932543,5.862365376,2.639573548,0.849944952,0.704069024,-3.325155838,-1.237831477,1.28404388,0.507920385,-0.479114897,-4.10245982,-5.849658433,-0.134788317,-0.962381695,1.564269578,-1.366316078,-1.810184262,-2.840217027,-0.869360567
Bosnia and Herzegovina,BIH,GDP per capita growth (annual %),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.10320413,92.12333891,35.39046853,15.6599773,9.348297987,5.287471504,4.273267286,5.17386249,3.905335705,6.042758943,8.751241564,5.435969151,5.881943145,5.773014261,-2.428168742,1.429915285,1.816947828,0.171069831,3.621246824,2.187284446,3.891129336,2.542874074
Belarus,BLR,GDP per capita growth (annual %),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.248459878,-9.79467502,-7.807559332,-11.5963919,-10.10994703,3.144015747,11.87348028,8.916754395,3.835823774,6.299632992,5.263892143,5.716082247,7.794918029,12.21261814,10.14976564,10.67559202,9.099453412,10.58130555,0.423655891,7.977490604,5.737693114,1.824658036,1.007955006,1.631675443,-3.982648864,-2.82827485
Belize,BLZ,GDP per capita growth (annual %),,1.969342153,2.004937561,2.043422663,2.040458056,1.914698841,1.677936409,1.799021034,4.250586943,2.286170371,2.302060191,1.7843343,8.175169414,3.604910794,11.81905552,2.07461353,-1.429803332,5.064605393,6.386237215,5.736547855,12.88963156,-1.050701576,-2.872503178,-4.821280841,-0.919312955,-1.736188373,1.708407978,8.184014079,6.36491395,10.35339586,8.220196124,8.430780291,10.19594922,4.502383596,-1.857397533,-1.928012605,-1.75783556,-0.160105603,-0.16840758,4.801900463,9.250159336,1.857170233,2.223254849,6.513856447,2.012685989,-0.024137828,1.895579088,-1.491000368,0.612759462,-1.777689555,0.857375506,-0.248343185,1.50928183,-0.887754493,1.857621598,0.137190447,-2.85160523
Bermuda,BMU,GDP per capita growth (annual %),,2.149274725,2.003969957,-1.260754717,8.383374233,2.250778443,12.34545455,11.0966736,0.178748759,1.520936744,4.379341589,4.195283883,2.564073979,2.238205024,1.632827387,4.551271534,8.529004074,5.500816287,1.074229338,1.768239125,6.226141898,1.674235543,-5.966959639,1.131648138,-0.396562989,-2.821585923,5.76696525,2.912453111,3.16809012,-0.399432874,-0.79846154,-3.035882649,0.66685303,2.457766243,-0.095697727,3.654762676,1.946948092,3.963723821,3.139627193,2.805723433,8.348323379,6.071369604,-2.116731459,2.736270805,1.655070593,1.018080926,4.94027207,2.267374058,0.929051522,-5.808003155,-1.324384803,-2.501103308,-5.178203827,-2.815614911,,,
Bolivia,BOL,GDP per capita growth (annual %),,0.145004135,3.55448463,4.373050887,2.760511205,3.55607945,4.392363424,4.77789416,-13.93494466,1.004796804,-2.53069251,2.89809926,5.727004398,3.526190394,0.762855153,5.016899066,2.355145904,2.687860977,-0.172206516,-2.041765461,-3.497152644,-1.866696096,-5.973214015,-6.051100394,-2.259404257,-3.671715911,-4.5160226,0.453130721,0.910642613,1.779195045,2.603001754,3.214986511,-0.337284454,2.232052599,2.62105976,2.632871749,2.323064085,2.908530723,2.995846135,-1.493332427,0.580452861,-0.193522175,0.626497452,0.880169052,2.345784398,2.617248951,3.014236856,2.813211774,4.396997725,1.674131284,2.452273858,3.53285763,3.472792957,5.140099428,3.844087843,3.267949173,2.701313052
Brazil,BRA,GDP per capita growth (annual %),,7.095696419,2.163610897,-2.043023053,0.534549621,0.178577915,1.31141482,2.115373308,8.516388961,6.927923817,6.040941708,8.559464839,9.351013542,11.26691633,6.463068193,2.723123214,7.199403038,2.14585441,0.811367507,4.271797586,6.573976736,-6.606521081,-1.730459842,-5.592446232,2.955799851,5.657998359,5.787053958,1.56536343,-1.995189281,1.385237496,-4.828234237,-0.241038002,-2.133287042,2.954369967,3.637881524,2.749445713,0.585799529,1.770863387,-1.209713135,-1.036349404,2.610847741,-0.01508764,1.68021076,-0.151024206,4.468174413,1.99910388,2.809568342,4.951449819,4.031090195,-1.108219592,6.489926541,2.985153144,0.96867043,2.064604884,-0.384127515,-4.586418375,-4.379692823
Barbados,BRB,GDP per capita growth (annual %),,,,,,,,,,,,,,,,,,,,,,-2.243430499,-5.18511214,0.232676438,3.32597632,0.8112345,4.767591395,2.251506297,3.13328733,3.228255708,-3.640187373,-4.23140666,-6.026957695,0.453258645,1.642247724,1.659771404,3.581984801,4.346605364,3.351358705,-0.036751067,4.095008173,-2.669594768,0.496707375,1.878540374,1.097446907,3.616665253,5.272870113,1.354868827,-0.027183409,-4.437651061,-0.129233725,0.385632174,-0.052093697,-0.398957384,-0.246161228,0.606258497,1.286145092
Brunei Darussalam,BRN,GDP per capita growth (annual %),,,,,,,,,,,,,,,,-3.717824959,15.47485948,6.760486148,2.95620533,18.3830954,-10.01435065,-22.28538729,0.90898521,-2.344881696,-2.207997131,-4.248421909,-5.436397443,-0.845659361,-1.729709886,-3.849453889,-1.750856825,0.244944814,1.818443936,-2.467988762,0.375853075,1.78335131,0.343660491,-3.788527381,-2.796411228,0.820179985,0.703799978,0.66690817,1.850755489,1.004802991,-1.210435708,-1.161640293,2.961951444,-1.07816724,-3.074286195,-2.92153579,1.308103911,2.336377027,-0.534908279,-3.56573477,-3.77001402,-1.957072203,-3.768598812
Bhutan,BTN,GDP per capita growth (annual %),,,,,,,,,,,,,,,,,,,,,,10.87076765,0.854083557,8.590718292,1.748004728,1.209745685,8.081273769,24.19968697,1.570204312,4.802005404,9.427124832,-0.408617538,5.734227651,3.625581852,6.295444064,7.412261174,4.66967757,3.486191336,3.296045337,5.003650573,3.972960527,5.2336757,7.660360299,4.722463803,3.109913046,4.454116703,4.371523942,15.39721708,2.677022729,4.640694092,9.706576106,6.015924803,3.333415455,0.540980785,4.181025813,5.01204201,4.785188206
Botswana,BWA,GDP per capita growth (annual %),,3.830034418,4.034856975,3.201979084,3.991160154,2.909692538,3.329387374,2.822712263,7.232480232,11.569249,13.42328549,21.78685643,22.24601544,17.25028465,5.028182814,4.540247134,6.518035779,7.733252145,9.937524204,7.89360842,7.84907353,5.153572834,8.256847857,9.321111492,4.985979189,3.717951189,4.849111716,8.563116643,16.0087422,9.868716636,3.805928703,4.514297203,0.152836165,-0.733574046,1.063354618,4.542596833,3.522875905,5.811775048,-1.207839329,7.716489234,0.307236221,-1.268664175,4.578678287,3.211855041,1.30272815,3.06242556,6.731371966,6.570048479,4.502092783,-9.216297545,6.678647787,4.16276736,2.557541397,9.293268185,2.225017783,-3.507534864,1.022269116
Central African Republic,CAF,GDP per capita growth (annual %),,3.188413338,-5.410711461,-2.529240539,0.138323269,-1.030986067,-1.39169303,2.501102379,-0.718370235,4.888069895,0.290989854,-0.816309322,-1.880484641,-0.032431825,4.256953078,-1.677945104,3.13038016,1.442719713,-1.215013,-4.941388824,-7.044761927,-4.354320061,4.50739191,-10.8641805,6.381013889,1.227519699,1.168056534,-6.949134604,-0.351348375,-0.167730167,-4.381394238,-3.021522709,-8.877969563,-2.358700898,2.12476378,4.479187748,-6.320695893,2.860377485,2.369569309,1.370375291,-4.527371948,2.359826068,1.616952716,-7.156950173,4.077034263,-0.873220023,2.929681162,2.796095803,0.419859862,0.350323252,2.020575379,2.663119801,3.782102263,-36.82989636,0.687829612,4.091983725,3.427394581
Canada,CAN,GDP per capita growth (annual %),,1.119386965,5.1429394,3.240538916,4.706261139,4.723611892,4.617864589,1.080057912,3.610129103,3.838380119,1.822314913,2.571035136,3.776950589,5.16734324,1.848474041,-0.085085585,3.817102229,2.249565779,2.915612321,2.774441918,0.849910554,2.226996736,-4.361972005,1.574844009,4.911513411,3.765145219,1.140353346,2.739877822,3.089815798,0.515112994,-1.330436468,-3.448261018,-0.347711091,1.537971309,3.493848737,1.830884931,0.522403482,3.183363787,2.986425101,4.296712274,4.258017061,0.748589119,2.090014217,0.793120836,2.05816244,2.188914999,1.808912962,1.077673059,-0.086768936,-4.054323962,1.941577559,2.127591675,0.551584748,1.294737009,1.442497731,0.085550256,0.243484787
Central Europe and the Baltics,CEB,GDP per capita growth (annual %),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-9.367252769,-1.503158481,1.504352506,4.184833778,5.880398869,4.719784171,3.146912192,2.916713356,2.179072107,4.715201424,3.654685955,4.14052425,4.768300069,5.886183481,5.209414691,6.841153504,6.79514301,4.1534513,-3.501817905,2.298721525,3.498016743,0.801788928,1.541223657,3.15081371,3.857974674,3.159645177
Switzerland,CHE,GDP per capita growth (annual %),,,,,,,,,,,,,,,,,,,,,,1.047028193,-1.884376933,0.208475086,2.639204455,3.216945091,1.329945832,0.94940351,2.521347117,3.490643008,2.615466253,-2.146489833,-1.13971906,-1.031422505,0.465686414,-0.188350759,0.15778215,2.065883225,2.639340726,1.159768637,3.363610788,0.806696609,-0.611301386,-0.689833454,2.138403618,2.380350063,3.362088347,3.213801869,0.985908308,-3.344885787,1.887058094,0.678880179,-0.019169371,0.616928355,0.759979218,-0.299178806,0.202216647
Channel Islands,CHI,GDP per capita growth (annual %),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.056385081,5.088043023,-2.215158008,-2.354478253,-3.926049308,-0.516507647,0.639218251,4.128469015,5.152704958,,,,,,,,,
Chile,CHL,GDP per capita growth (annual %),,2.930575285,1.744507312,3.526596484,0.325965113,-1.231543649,8.848098367,1.414219239,1.433133793,1.838652229,-0.147398913,7.386711419,-2.789248904,-6.663504632,0.67933616,-14.31810433,2.203850421,8.756351766,6.081623629,6.795625734,6.363326664,4.915096555,-12.36789342,-6.480280876,2.469696914,2.341714033,3.649663,4.68498973,5.544324108,8.094065923,1.645418361,6.081155362,9.428271488,4.963885985,3.474495559,7.369587968,5.320616059,5.987638104,2.972703351,-1.661793921,4.044734971,2.084309692,1.927878087,2.932131564,6.040138121,4.608026532,5.191919769,3.811882653,2.471645451,-2.543950469,4.823241065,5.121137917,4.367101911,3.132019318,1.037104022,1.39547782,0.754784287
China,CHN,GDP per capita growth (annual %),,-26.52764361,-6.351504864,7.62225446,15.46899542,14.19788901,7.608403934,-8.161497585,-6.57145162,13.77934034,16.05039929,4.159176206,1.290105969,5.327293015,0.218005665,6.816440509,-3.081321986,6.114001674,10.1822945,6.174224075,6.463001268,3.833797117,7.341931344,9.245216354,13.63833419,11.9091084,7.331332019,9.912166139,9.457901151,2.600704109,2.393612459,7.81295779,12.82494547,12.56602799,11.78156869,9.750279002,8.782184882,8.118548119,6.80780632,6.739270027,7.640001656,7.555801672,8.401915061,9.352364261,9.45917505,10.74255231,12.09183627,13.63634486,9.093872102,8.857029819,10.10310072,9.012854035,7.332030984,7.226936454,6.755778416,6.358383363,6.123803818
Cote d'Ivoire,CIV,GDP per capita growth (annual %),,5.908752928,-2.643489491,10.02553845,13.05832851,-6.782473662,7.464253664,0.798467187,8.405901935,5.319450924,5.860481561,4.723404541,-0.449760013,1.066992421,-0.494541914,3.28429434,7.788857512,2.490508682,5.981105647,-2.10135425,-14.81623373,-0.924070528,-4.013684788,-7.855775742,-6.596001393,0.44792766,-0.607519395,-3.960614131,-2.445431333,-0.660475085,-4.55061505,-3.4400718,-3.677687264,-3.560584513,-2.487795889,3.757375222,4.464604674,0.71616092,2.033586374,-0.973875724,-4.3357168,-1.956192652,-3.515579751,-3.104989071,-0.559034179,-0.156953168,-0.455535428,-0.295788895,0.375834837,0.981061397,-0.307436734,-6.647608026,8.00176057,6.17436763,6.065754946,6.437082375,6.058955765
Cameroon,CMR,GDP per capita growth (annual %),,-0.902373216,0.853020133,1.47970807,1.236753164,-0.296315279,2.186860272,-13.02092966,3.781263574,2.325541147,0.516738703,0.851519808,0.023333123,2.589584267,7.775051777,8.218391308,-8.108479331,10.54684019,18.52489905,2.963576359,-4.849097697,13.59430208,4.281406937,3.625898367,4.195263471,4.753963411,3.494080004,-5.147073962,-10.62726215,-4.757451935,-8.855214691,-6.564252618,-5.819074876,-10.45730161,-0.667537783,1.410604554,2.242305991,2.690111336,2.308670556,1.488507474,1.565919037,1.862102403,1.338744574,1.328854577,0.979172097,-0.414383291,0.463027814,0.472524307,0.100029173,-0.824791026,0.486855897,1.349603582,1.800999882,2.766957325,3.144517349,3.01887957,1.829610466
"Congo, Dem. Rep.",COD,GDP per capita growth (annual %),,-13.07176086,18.15180308,2.525359239,-4.991154391,-1.711980028,3.834399465,-3.767528589,1.381487819,6.262844826,-2.992095295,3.154571175,-2.491447539,5.299886546,0.391887955,-7.559712047,-7.948686059,-2.10018371,-8.027389021,-2.33771596,-0.502028578,-0.231023444,-2.892134229,-1.042962945,2.94400347,-2.093891404,1.97904674,-0.07280747,-2.361049543,-4.279173979,-9.67006979,-11.73653413,-13.93016983,-16.78345621,-7.33633833,-2.500562472,-3.741818839,-7.898772199,-3.840838026,-6.477076421,-9.239756474,-4.766335642,-0.029831099,2.384650964,3.429236238,2.806262935,1.983942218,2.849728176,2.784284749,-0.500123423,3.570908827,3.356061413,3.63906725,4.947349654,5.934796553,3.412732003,-1.091201346
"Congo, Rep.",COG,GDP per capita growth (annual %),,5.612610689,2.488102089,-6.54831363,1.053211839,0.883552647,-1.394815081,-0.682965083,4.637498832,4.494404744,3.267415361,4.548656886,5.332107269,4.937403521,4.623618323,4.523509881,-2.03503565,-11.57616896,3.322601975,6.677598347,14.2604435,14.22145214,20.01752555,2.799781513,3.926005861,-3.955269204,-9.427292711,-2.532354591,-0.972426339,-0.150222909,-1.708648638,-0.353185509,-0.145954482,-3.651822673,-8.061514691,1.133956593,1.39393626,-3.41734191,0.811588026,-5.312176655,4.595113178,0.982643623,1.777185896,-1.930885431,0.522812427,4.486666389,2.804197998,-4.895969042,2.001682235,3.975347194,5.454888977,0.53216465,1.09748692,0.871120616,4.155808715,0.087359076,-4.356862976
